,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ppi,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
24,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.91,58598,141.21,0,0,0,256,0,0
25,Dell,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.3,37225,100.45,0,0,1,0,0,0
26,Apple,Ultrabook,Intel Core i5,8,128GB Flash Storage,Intel HD,mac OS,1.35,97723,127.68,0,0,0,0,0,128
27,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.2,71136,141.21,0,0,0,256,0,0
28,Dell,Ultrabook,Intel Core i7,8,256GB SSD +  256GB SSD,Intel UHD,Windows 10,1.88,115418,141.21,0,0,0,512,0,0
29,HP,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,79672,127.34,0,0,1,0,0,0
31,Asus,Notebook,AMD E-Series,2,32GB Flash Storage,AMD Radeon,Windows 10,1.65,17695,111.94,0,0,0,0,0,32
32,HP,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,Windows 10,2.71,39036,127.34,0,0,500,0,0,0
33,Dell,Ultrabook,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.2,166191,276.05,0,1,0,512,0,0
34,Apple,Ultrabook,Intel Core i5,8,256GB Flash Storage,Intel HD,mac OS,1.35,88742,127.68,0,0,0,0,0,256
35,Lenovo,Notebook,Other Intel Processor,4,64GB Flash Storage,Intel HD,Windows 10,1.44,22141,111.94,0,0,0,0,0,64
36,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,32634,100.45,0,0,1,0,0,0
37,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,87053,127.34,1,0,1,128,0,0
38,HP,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.86,43454,100.45,0,0,1,0,0,0
39,HP,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.1,78161,141.21,0,0,0,256,0,0
40,Asus,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.0,34590,141.21,0,0,1,0,0,0
41,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,133291,141.21,1,0,1,256,0,0
42,Asus,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.3,46504,100.45,0,0,1,0,0,0
43,Acer,Notebook,Intel Core i5,4,256GB SSD,Intel UHD,Windows 10,2.2,60643,141.21,1,0,0,256,0,0
44,Dell,2 in 1 Convertible,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows 10,2.77,88831,127.34,0,1,1,0,0,0
45,Apple,Ultrabook,Intel Core i5,8,256GB SSD,Intel Iris,mac OS,1.37,126177,226.98,1,0,0,256,0,0
46,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,No OS,2.2,32811,100.45,0,0,0,128,0,0
47,Asus,Gaming,AMD Ryzen Series,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,115507,127.34,0,0,1,256,0,0
48,Dell,Notebook,Intel Core i5,4,256GB SSD,AMD Radeon,Windows 10,2.3,56820,141.21,0,0,0,256,0,0
49,Asus,Notebook,Other Intel Processor,4,1TB HDD,Nvidia GeForce,Windows 10,2.8,41437,90.58,0,0,1,0,0,0
51,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,74782,141.21,1,0,0,256,0,0
52,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,35434,141.21,0,0,0,256,0,0
53,HP,Notebook,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.49,98079,165.63,0,0,0,512,0,0
54,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.4,34145,100.45,0,0,1,0,0,0
55,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.13,68273,141.21,0,0,0,256,0,0
56,HP,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.91,39036,141.21,0,0,0,128,0,0
57,Asus,Notebook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,2.0,52124,100.45,0,0,0,256,0,0
58,MSI,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.43,217765,127.34,0,0,2,256,0,0
59,Asus,Notebook,Intel Core i3,4,256GB SSD,Intel HD,Linux,2.0,36902,141.21,0,0,0,256,0,0
60,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,115507,127.34,0,0,2,256,0,0
61,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.7,78161,157.35,0,0,0,256,0,0
62,Lenovo,Notebook,Intel Core i3,8,256GB SSD,Intel HD,No OS,1.7,53263,157.35,1,0,0,256,0,0
63,Asus,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.4,83674,157.35,0,0,0,256,0,0
64,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.86,61355,141.21,0,0,0,256,0,0
65,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.8,176328,141.21,0,0,0,512,0,0
66,HP,Notebook,Intel Core i3,4,500GB HDD,AMD Radeon,Windows 10,1.86,39008,100.45,0,0,500,0,0,0
67,HP,Notebook,Other Intel Processor,4,32GB SSD,Intel HD,Windows 10,1.44,20363,111.94,0,0,0,32,0,0
68,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,1.9,48817,141.21,0,0,1,0,0,0
69,Asus,Gaming,Intel Core i7,12,1TB HDD,Nvidia GeForce,Linux,3.0,84385,127.34,0,0,1,0,0,0
71,Dell,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.4,84919,165.63,1,0,0,256,0,0
72,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.2,77360,141.21,0,0,0,256,0,0
73,MSI,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,97367,127.34,0,0,1,128,0,0
74,Acer,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.1,34590,111.94,0,0,1,0,0,0
75,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,84385,141.21,0,0,1,0,0,0
76,Lenovo,Notebook,Intel Core i5,8,2TB HDD,Intel HD,No OS,2.2,46149,141.21,0,0,2,0,0,0
77,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Intel UHD,Windows 10,2.02,76027,141.21,0,0,1,128,0,0
78,Acer,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.2,47128,141.21,0,0,1,0,0,0
79,HP,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,86875,127.34,0,0,1,128,0,0
80,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.88,97471,141.21,1,0,0,256,0,0
82,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.63,76471,157.35,0,0,0,256,0,0
83,Lenovo,Notebook,AMD A-Series,4,128GB SSD,AMD R4,Windows 10,2.2,35479,141.21,0,0,0,128,0,0
84,Acer,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.1,35123,100.45,0,0,1,0,0,0
85,Dell,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,119953,141.21,1,0,1,128,0,0
86,HP,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.83,62155,141.21,1,0,0,256,0,0
87,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.96,53262,141.21,0,0,0,256,0,0
88,Asus,Gaming,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,128845,141.21,1,0,1,128,0,0
89,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,146629,165.63,1,0,0,256,0,0
90,Asus,Gaming,AMD F-Series,8,1TB HDD,AMD Radeon,Windows 10,2.45,62155,141.21,0,0,1,0,0,0
91,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,61266,141.21,0,0,1,0,0,0
92,HP,Notebook,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.49,106437,165.63,0,0,0,512,0,0
93,Dell,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.65,106259,141.21,0,0,0,256,0,0
94,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.25,93277,157.35,0,0,0,256,0,0
95,Acer,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.5,75315,165.63,1,1,0,256,0,0
96,Dell,Notebook,Intel Core i7,8,1TB HDD,AMD Radeon,Linux,2.2,53343,141.21,0,0,1,0,0,0
97,Dell,Notebook,Intel Core i3,4,256GB SSD,AMD Radeon,Linux,2.2,43126,141.21,0,0,0,256,0,0
98,Asus,Notebook,Intel Core i3,6,256GB SSD,Nvidia GeForce,Windows 10,2.0,51307,141.21,0,0,0,256,0,0
99,HP,Gaming,Intel Core i7,12,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,111061,141.21,1,0,1,128,0,0
100,HP,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.91,63933,141.21,0,0,0,256,0,0
101,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,31033,141.21,0,0,500,0,0,0
102,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Linux,2.2,57531,141.21,0,0,1,0,0,0
103,HP,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.38,99501,165.63,1,0,0,256,0,0
105,HP,Notebook,Intel Core i5,6,256GB SSD,Nvidia GeForce,Windows 10,1.58,58598,157.35,1,0,0,256,0,0
106,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.85,36893,141.21,0,0,1,0,0,0
107,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.3,106082,157.35,1,0,0,256,0,0
108,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.2,115507,141.21,0,0,1,256,0,0
109,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.58,131602,157.35,1,0,0,256,0,0
110,Asus,Ultrabook,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.5,112217,141.21,0,0,1,256,0,0
111,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel Iris,Windows 10,1.23,122621,276.05,0,1,0,256,0,0
112,Lenovo,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.37,124399,165.63,1,1,0,256,0,0
113,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.63,64200,111.94,1,0,500,0,0,0
114,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.21,144851,165.63,1,0,0,256,0,0
115,HP,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.26,124398,165.63,1,1,0,256,0,0
116,HP,Notebook,Intel Core i7,8,512GB SSD,Intel UHD,Windows 10,1.63,96389,157.35,0,0,0,512,0,0
117,Dell,Notebook,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.16,100509,141.21,1,0,1,256,0,0
118,Asus,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,2.0,50151,127.34,0,0,1,0,0,0
119,Asus,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,99413,141.21,0,0,0,256,0,0
120,Acer,Notebook,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.1,42593,141.21,1,1,1,0,0,0
121,MSI,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,1.8,199314,141.21,0,0,2,256,0,0
122,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.2,55931,141.21,0,0,0,256,0,0
123,HP,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.5,113017,127.34,0,0,0,512,0,0
124,Acer,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,2.1,40103,100.45,0,0,0,256,0,0
125,HP,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,No OS,1.86,23030,100.45,0,0,500,0,0,0
126,HP,Notebook,Intel Core i5,8,1TB HDD,Intel UHD,Windows 10,1.63,72203,157.35,0,0,1,0,0,0
127,Asus,Notebook,AMD E-Series,4,64GB SSD,AMD Radeon,Windows 10,1.65,24719,111.94,0,0,0,64,0,0
128,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.8,124132,127.34,0,0,2,256,0,0
129,HP,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.5,82518,127.34,0,0,0,256,0,0
130,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.36,56819,100.45,0,0,1,0,0,0
131,Dell,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.2,39925,141.21,0,0,1,0,0,0
132,Acer,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.6,78605,157.35,1,0,0,256,0,0
133,Acer,Notebook,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows 10,2.2,50862,141.21,0,0,0,256,0,0
134,HP,Notebook,Intel Core i7,8,1TB HDD,Intel HD,Windows 10,2.05,53174,100.45,0,0,1,0,0,0
135,HP,Notebook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.63,87853,157.35,0,0,0,256,0,0
136,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,1.9,22440,100.45,0,0,1,0,0,0
137,Asus,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,83407,127.34,0,0,1,128,0,0
138,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Nvidia GeForce,No OS,2.2,44371,141.21,0,0,1,0,0,0
139,HP,Notebook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.32,62155,165.63,1,0,0,256,0,0
140,Acer,Notebook,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows 10,3.0,58243,127.34,1,0,1,0,0,0
141,Lenovo,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,1.75,99236,157.35,1,0,0,256,0,0
142,Lenovo,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,No OS,2.4,77271,141.21,1,0,0,256,0,0
143,Toshiba,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.1,53530,100.45,0,0,500,0,0,0
144,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.86,32811,100.45,0,0,0,256,0,0
145,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.25,97723,157.35,0,0,0,256,0,0
146,HP,Ultrabook,Other Intel Processor,8,512GB SSD,Intel HD,Windows 10,0.97,179085,352.47,1,1,0,512,0,0
147,Asus,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.0,30588,141.21,0,0,1,0,0,0
148,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,180419,127.34,0,0,1,256,0,0
149,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.1,39747,100.45,0,0,1,0,0,0
150,Dell,Gaming,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.56,111084,141.21,0,0,0,512,0,0
151,Dell,Gaming,Intel Core i7,8,1.0TB Hybrid,Nvidia GeForce,Windows 10,2.62,79939,141.21,0,0,0,0,10,0
152,Lenovo,Notebook,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,1.9,44282,100.45,0,0,0,128,0,0
153,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,168059,127.34,0,0,1,256,0,0
154,HP,Ultrabook,Intel Core i5,4,256GB SSD,Intel HD,Windows 10,1.48,96211,157.35,0,0,0,256,0,0
155,HP,Notebook,Intel Core i5,6,256GB SSD,AMD Radeon,Windows 10,1.91,55041,141.21,0,0,0,256,0,0
156,Lenovo,2 in 1 Convertible,Intel Core i3,4,256GB SSD,Intel HD,Windows 10,1.74,55931,157.35,1,1,0,256,0,0
157,Asus,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.1,116930,165.63,0,1,0,256,0,0
158,Dell,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.56,93277,141.21,0,1,0,256,0,0
159,Toshiba,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.1,39747,100.45,0,0,500,0,0,0
160,Asus,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,2.03,35835,100.45,0,0,1,0,0,0
161,Acer,Notebook,Intel Core i5,4,256GB SSD,Nvidia GeForce,Windows 10,3.0,71581,127.34,1,0,0,256,0,0
162,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Windows 10,2.13,64734,141.21,0,0,0,256,0,0
163,Lenovo,Gaming,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,2.5,95945,141.21,1,0,0,256,0,0
164,Acer,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,30944,100.45,0,0,1,0,0,0
165,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.4,159967,141.21,1,0,1,256,0,0
166,Acer,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.1,32323,100.45,0,0,1,0,0,0
167,Dell,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.56,94299,141.21,0,0,1,128,0,0
168,Acer,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,3.0,75938,127.34,1,0,0,256,0,0
169,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.49,67046,165.63,1,0,500,0,0,0
171,HP,Notebook,Intel Core i5,6,2TB HDD,AMD Radeon,Windows 10,2.71,62155,127.34,1,0,2,0,0,0
172,Lenovo,Notebook,AMD A-Series,4,500GB HDD,AMD Radeon,No OS,2.2,27476,100.45,0,0,500,0,0,0
173,Toshiba,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.0,43482,100.45,0,0,500,0,0,0
174,HP,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,82073,127.34,0,0,0,256,0,0
175,Dell,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.3,40814,100.45,0,0,1,0,0,0
176,Acer,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,2.1,39925,100.45,0,0,0,128,0,0
178,Lenovo,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows 10,1.9,72292,141.21,0,0,1,128,0,0
179,HP,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.29,133291,331.26,1,1,0,256,0,0
180,Dell,Notebook,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Linux,2.02,93277,141.21,0,0,2,256,0,0
181,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.23,124399,165.63,0,0,0,256,0,0
183,Toshiba,Notebook,Intel Core i5,8,128GB SSD,Intel HD,Windows 10,2.0,70514,100.45,0,0,0,128,0,0
185,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.77,137737,127.34,0,1,0,512,0,0
186,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,213141,282.42,0,1,0,512,0,0
187,Lenovo,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.4,69269,141.21,1,0,0,256,0,0
188,Acer,Ultrabook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.12,87942,165.63,1,0,0,256,0,0
189,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,96478,127.34,0,0,1,128,0,0
190,Lenovo,2 in 1 Convertible,Intel Core i7,16,1TB SSD,Intel HD,Windows 10,1.42,251110,209.8,0,1,0,1,0,0
193,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.8,62066,106.11,0,0,0,256,0,0
194,Dell,2 in 1 Convertible,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,1.62,74604,165.63,1,1,1,0,0,0
195,HP,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,81273,127.34,1,0,1,0,0,0
197,HP,Notebook,Intel Core i5,8,512GB SSD,Intel UHD,Windows 10,1.49,85274,165.63,0,0,0,512,0,0
198,HP,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,122621,127.34,1,0,1,256,0,0
199,HP,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,92921,127.34,0,0,0,256,0,0
200,Dell,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.65,164057,282.42,1,0,1,512,0,0
201,Lenovo,Notebook,Intel Core i5,4,128GB SSD,Intel HD,Windows 10,2.1,43838,100.45,0,0,0,128,0,0
202,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.23,65979,141.21,0,0,1,0,0,0
203,Lenovo,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,155521,141.21,1,0,1,512,0,0
204,Dell,Workstation,Other Intel Processor,16,256GB SSD +  1TB HDD,Nvidia Quadro,Windows 10,2.8,271651,282.42,0,0,1,256,0,0
205,Lenovo,Gaming,Intel Core i7,16,512GB SSD,Nvidia GeForce,No OS,2.4,124310,141.21,0,0,0,512,0,0
206,Dell,Notebook,Intel Core i3,6,1TB HDD,Intel HD,Windows 10,2.3,39036,100.45,0,1,1,0,0,0
207,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.21,173305,331.26,1,1,0,256,0,0
208,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,128845,165.63,0,0,0,256,0,0
209,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.2,53085,100.45,0,0,0,256,0,0
210,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,69269,141.21,0,0,1,0,0,0
211,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,125110,127.34,0,0,1,256,0,0
212,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,No OS,2.1,31033,141.21,0,0,500,0,0,0
213,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,No OS,2.2,48817,141.21,0,0,0,256,0,0
215,Dell,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.4,82863,165.63,1,0,0,256,0,0
216,Lenovo,Notebook,Intel Core i5,8,1TB HDD,Nvidia GeForce,No OS,2.8,52374,106.11,0,0,1,0,0,0
217,HP,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.63,91677,157.35,0,0,0,256,0,0
218,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.6,102169,157.35,0,0,0,256,0,0
219,Dell,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,1.62,113729,165.63,0,1,0,512,0,0
220,Dell,Notebook,Intel Core i5,8,256GB SSD,AMD Radeon,Linux,2.2,60230,141.21,0,0,0,256,0,0
221,Lenovo,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.74,79939,157.35,1,0,0,256,0,0
222,Toshiba,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.2,121198,165.63,0,0,0,256,0,0
223,HP,Notebook,Intel Core i5,8,1TB HDD,Intel UHD,Windows 10,2.1,70602,141.21,0,0,1,0,0,0
224,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,218418,127.34,1,0,1,256,0,0
